,name,condition,angle,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,goal,beanEaten
0,softmaxBeta-1_14,None,54.46232220802562,14,3,8,2,9,8,"[0, 32930, 0, 32930, 0, 32930, 0]","[(9, 8), [8, 8], [8, 7], [8, 6], [8, 5], [8, 4], [8, 3], [8, 2]]","[(-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[2, 0, 0, 0, 0, 0, 2]",2
1,softmaxBeta-1_14,-5,125.5376777919744,14,3,7,3,8,2,"[1, 32933]","[(8, 2), [7, 2], [7, 3]]","[(-1, 0), (0, 1)]","[2, 0]",2
2,softmaxBeta-1_14,-3,45.0,14,3,9,1,7,3,"[0, 32937, 0, 32937]","[(7, 3), [7, 2], [8, 2], [9, 2], [9, 1]]","[(0, -1), (1, 0), (1, 0), (0, -1)]","[2, 0, 0, 2]",2
3,softmaxBeta-1_14,-3,113.19859051364818,14,3,7,3,9,1,"[1, 32940, 1, 32940]","[(9, 1), [8, 1], [8, 2], [7, 2], [7, 3]]","[(-1, 0), (0, 1), (-1, 0), (0, 1)]","[2, 0, 2, 0]",2
4,softmaxBeta-1_14,5,45.0,14,3,13,9,7,3,"[0, 32944, 1, 32944, 1, 32944, 1]","[(7, 3), [8, 3], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [14, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 0, 0, 0, 0, 0, 1]",1
5,softmaxBeta-1_14,0,58.736268305622566,13,9,9,5,14,3,"[0, 32949, 0, 32949, 0, 32949, 0]","[(14, 3), [13, 3], [12, 3], [12, 4], [11, 4], [10, 4], [10, 5], [9, 5]]","[(-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0)]","[0, 2, 0, 2, 2, 0, 2]",2
6,softmaxBeta-1_14,1,37.8749836510982,13,9,10,13,9,5,"[0, 32953, 0, 32953, 0, 32953, 0, 32953]","[(9, 5), [10, 5], [11, 5], [11, 6], [12, 6], [13, 6], [13, 7], [13, 8], [13, 9]]","[(1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]","[0, 1, 0, 1, 1, 0, 0, 0]",1
7,softmaxBeta-1_14,-5,98.13010235415598,10,13,12,8,13,9,"[0, 32957]","[(13, 9), [13, 8], [12, 8]]","[(0, -1), (-1, 0)]","[2, 0]",2
8,softmaxBeta-1_14,5,41.63353933657021,10,13,4,12,12,8,"[0, 32960, 0, 32960, 1, 32960, 1]","[(12, 8), [12, 9], [11, 9], [11, 10], [11, 11], [10, 11], [10, 12], [10, 13]]","[(0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1)]","[0, 0, 0, 0, 0, 0, 1]",1
9,softmaxBeta-1_14,5,45.0,4,12,5,6,10,13,"[0, 32964, 0, 32964, 1, 32964, 1]","[(10, 13), [10, 12], [9, 12], [8, 12], [7, 12], [6, 12], [5, 12], [4, 12]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 0, 1]",1
