,name,condition,angle,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,goal,beanEaten
0,maxModel1,None,21.037511025421807,3,2,8,0,3,13,"[0, 17006, 0, 17006, 0, 17006, 0, 17007, 0, 17007, 0]","[(3, 13), [3, 12], [3, 11], [3, 10], [3, 9], [3, 8], [3, 7], [3, 6], [3, 5], [3, 4], [3, 3], [3, 2]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,maxModel1,-1,66.80140948635182,8,0,6,5,3,2,"[0, 17011, 0, 17011, 0, 17011]","[(3, 2), [4, 2], [5, 2], [5, 3], [5, 4], [5, 5], [6, 5]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0)]","[0, 0, 2, 2, 2, 0]",2
2,maxModel1,5,41.63353933657021,8,0,14,1,6,5,"[1, 17014, 1, 17014, 1, 17014, 1]","[(6, 5), [7, 5], [7, 4], [7, 3], [8, 3], [8, 2], [8, 1], [8, 0]]","[(1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 0, 0, 1]",1
3,maxModel1,1,49.573921259900864,14,1,11,5,8,0,"[0, 17020, 0, 17021, 0, 17021, 0]","[(8, 0), [9, 0], [10, 0], [10, 1], [11, 1], [12, 1], [13, 1], [14, 1]]","[(1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 0, 0, 0, 1, 1, 1]",1
4,maxModel1,-1,64.4400348281762,11,5,9,0,14,1,"[0, 17025, 0, 17025, 0, 17025]","[(14, 1), [14, 0], [13, 0], [12, 0], [11, 0], [10, 0], [9, 0]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[2, 0, 0, 0, 2, 2]",2
5,maxModel1,1,66.80140948635182,11,5,5,4,9,0,"[0, 17029, 0, 17029, 0, 17029, 1]","[(9, 0), [10, 0], [10, 1], [11, 1], [11, 2], [11, 3], [11, 4], [11, 5]]","[(1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[1, 0, 1, 0, 0, 0, 1]",1
6,maxModel1,-3,62.10272896905237,5,4,10,2,11,5,"[0, 17033, 0, 17033]","[(11, 5), [10, 5], [10, 4], [10, 3], [10, 2]]","[(-1, 0), (0, -1), (0, -1), (0, -1)]","[0, 0, 2, 2]",2
7,maxModel1,0,58.736268305622566,5,4,9,8,10,2,"[1, 17036, 1, 17036, 1, 17036, 2]","[(10, 2), [10, 3], [10, 4], [10, 5], [9, 5], [9, 6], [9, 7], [9, 8]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1)]","[0, 0, 2, 0, 2, 2, 2]",2
8,maxModel1,1,37.8749836510982,5,4,8,0,9,8,"[0, 17041, 0, 17041, 0, 17042, 0, 17042]","[(9, 8), [8, 8], [8, 7], [7, 7], [7, 6], [6, 6], [6, 5], [5, 5], [5, 4]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1)]","[0, 0, 1, 0, 1, 0, 1, 0]",1
9,maxModel1,3,39.0938588862295,8,0,13,2,5,4,"[0, 17045, 1, 17045, 1, 17045, 1]","[(5, 4), [6, 4], [7, 4], [7, 3], [7, 2], [7, 1], [8, 1], [8, 0]]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1)]","[0, 0, 0, 0, 1, 0, 1]",1
10,maxModel1,-3,113.19859051364818,13,2,6,2,8,0,"[1, 17049, 1, 17049]","[(8, 0), [8, 1], [8, 2], [7, 2], [6, 2]]","[(0, 1), (0, 1), (-1, 0), (-1, 0)]","[0, 0, 2, 2]",2
11,maxModel1,-5,45.0,13,2,7,3,6,2,"[0, 17054]","[(6, 2), [7, 2], [7, 3]]","[(1, 0), (0, 1)]","[0, 2]",2
12,maxModel1,0,62.59242456218159,13,2,10,7,7,3,"[1, 17056, 1, 17056, 1, 17056, 2]","[(7, 3), [7, 4], [8, 4], [9, 4], [9, 5], [10, 5], [10, 6], [10, 7]]","[(0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1)]","[2, 0, 0, 2, 0, 2, 2]",2
13,maxModel1,-3,92.72631099390628,13,2,13,9,10,7,"[0, 17061, 0, 17062, 0]","[(10, 7), [11, 7], [11, 8], [12, 8], [12, 9], [13, 9]]","[(1, 0), (0, 1), (1, 0), (0, 1), (1, 0)]","[0, 2, 0, 2, 0]",2
14,maxModel1,0,53.13010235415599,13,2,9,6,13,9,"[0, 17065, 0, 17066, 0, 17066, 0]","[(13, 9), [13, 8], [12, 8], [11, 8], [10, 8], [9, 8], [9, 7], [9, 6]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[0, 2, 2, 2, 2, 0, 0]",2
15,maxModel1,-1,81.86989764584403,13,2,13,9,9,6,"[0, 17070, 0, 17070, 0, 17070, 0]","[(9, 6), [9, 7], [10, 7], [11, 7], [11, 8], [12, 8], [13, 8], [13, 9]]","[(0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1)]","[2, 0, 0, 2, 0, 0, 2]",2
16,maxModel1,-5,45.0,13,2,12,8,13,9,"[0, 17074]","[(13, 9), [13, 8], [12, 8]]","[(0, -1), (-1, 0)]","[0, 2]",2
17,maxModel1,5,54.46232220802562,13,2,6,2,12,8,"[0, 17078, 0, 17078, 0, 17078, 0]","[(12, 8), [12, 7], [13, 7], [13, 6], [13, 5], [13, 4], [13, 3], [13, 2]]","[(0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[0, 1, 0, 0, 0, 0, 0]",1
18,maxModel1,3,45.00000000000001,6,2,8,7,13,2,"[1, 17081, 1, 17081, 1, 17081, 2]","[(13, 2), [12, 2], [11, 2], [10, 2], [9, 2], [8, 2], [7, 2], [6, 2]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 1, 1]",1
19,maxModel1,5,41.63353933657021,8,7,14,6,6,2,"[0, 17086, 0, 17086, 1, 17086, 1]","[(6, 2), [7, 2], [8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 0, 0, 0, 1]",1
20,maxModel1,-5,125.5376777919744,14,6,7,6,8,7,"[0, 17091]","[(8, 7), [8, 6], [7, 6]]","[(0, -1), (-1, 0)]","[0, 2]",2
21,maxModel1,3,45.00000000000001,14,6,12,1,7,6,"[0, 17094, 0, 17094, 0, 17095, 0]","[(7, 6), [8, 6], [9, 6], [10, 6], [11, 6], [12, 6], [13, 6], [14, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 0, 0, 0, 0, 1, 1]",1
22,maxModel1,-1,56.88865803962797,12,1,9,5,14,6,"[0, 17098, 0, 17099, 0, 17099]","[(14, 6), [14, 5], [13, 5], [12, 5], [11, 5], [10, 5], [9, 5]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 0, 0, 2, 2, 2]",2
23,maxModel1,0,106.26020470831197,12,1,12,9,9,5,"[0, 17103, 0, 17103, 0, 17103, 0]","[(9, 5), [9, 6], [9, 7], [10, 7], [10, 8], [11, 8], [12, 8], [12, 9]]","[(0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1)]","[2, 2, 0, 2, 0, 0, 2]",2
24,maxModel1,1,38.65980825409008,12,1,8,4,12,9,"[0, 17107, 0, 17107, 0, 17107, 0, 17107]","[(12, 9), [12, 8], [12, 7], [12, 6], [12, 5], [12, 4], [12, 3], [12, 2], [12, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 0, 1, 1, 1]",1
25,maxModel1,-1,79.69515353123397,8,4,14,5,12,1,"[0, 17111, 0, 17111, 1, 17111]","[(12, 1), [13, 1], [13, 2], [14, 2], [14, 3], [14, 4], [14, 5]]","[(1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1)]","[2, 0, 2, 0, 0, 2]",2
26,maxModel1,1,54.46232220802562,8,4,10,9,14,5,"[0, 17115, 0, 17116, 0, 17116, 0]","[(14, 5), [13, 5], [13, 4], [12, 4], [11, 4], [10, 4], [9, 4], [8, 4]]","[(-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[0, 1, 0, 0, 0, 1, 1]",1
27,maxModel1,-3,113.19859051364818,10,9,10,2,8,4,"[0, 17120, 0, 17120]","[(8, 4), [9, 4], [9, 3], [9, 2], [10, 2]]","[(1, 0), (0, -1), (0, -1), (1, 0)]","[0, 2, 2, 0]",2
28,maxModel1,5,45.0,10,9,4,8,10,2,"[0, 17123, 0, 17124, 0, 17124, 0]","[(10, 2), [10, 3], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 0, 0, 0, 1]",1
29,maxModel1,1,54.46232220802562,4,8,6,13,10,9,"[0, 17127, 1, 17127, 1, 17127, 1]","[(10, 9), [10, 8], [9, 8], [8, 8], [7, 8], [6, 8], [5, 8], [4, 8]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[1, 0, 0, 0, 0, 1, 1]",1
30,maxModel1,3,55.49147701233159,6,13,0,14,4,8,"[1, 17131, 1, 17131, 1, 17131, 2]","[(4, 8), [5, 8], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[1, 1, 0, 0, 0, 0, 0]",1
31,maxModel1,-3,54.46232220802562,0,14,4,11,6,13,"[0, 17136, 0, 17136]","[(6, 13), [6, 12], [6, 11], [5, 11], [4, 11]]","[(0, -1), (0, -1), (-1, 0), (-1, 0)]","[2, 2, 0, 0]",2
32,maxModel1,-5,98.13010235415598,0,14,5,12,4,11,"[1, 17139]","[(4, 11), [5, 11], [5, 12]]","[(1, 0), (0, 1)]","[2, 0]",2
