,name,condition,angle,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,goal,beanEaten
0,softmaxBeta2.5_8,None,28.141601232261724,13,5,9,2,4,4,"[0, 0, 0, 0, 1, 1, 1]","[(4, 4), [4, 3], [5, 3], [6, 3], [6, 2], [7, 2], [8, 2], [9, 2]]","[(0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0)]","[2, 0, 0, 2, 0, 0, 0]",2
1,softmaxBeta2.5_8,5,34.69515353123398,13,5,12,11,9,2,"[0, 0, 1, 1, 1, 1, 1]","[(9, 2), [9, 3], [10, 3], [10, 4], [11, 4], [12, 4], [13, 4], [13, 5]]","[(0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1)]","[0, 0, 0, 0, 0, 1, 0]",1
2,softmaxBeta2.5_8,1,49.573921259900864,12,11,8,8,13,5,"[1, 1, 1, 1, 1, 1, 2]","[(13, 5), [12, 5], [12, 6], [12, 7], [12, 8], [12, 9], [12, 10], [12, 11]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 0, 1, 1, 1]",1
3,softmaxBeta2.5_8,0,74.93151184050778,8,8,14,6,12,11,"[0, 0, 0, 0, 1, 1, 1]","[(12, 11), [12, 10], [12, 9], [13, 9], [14, 9], [14, 8], [14, 7], [14, 6]]","[(0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]","[0, 0, 2, 2, 0, 2, 2]",2
4,softmaxBeta2.5_8,-1,55.30484646876604,8,8,10,3,14,6,"[0, 0, 0, 0, 0, 1, 1]","[(14, 6), [14, 5], [14, 4], [14, 3], [13, 3], [12, 3], [11, 3], [10, 3]]","[(0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[2, 2, 2, 0, 0, 0, 0]",2
5,softmaxBeta2.5_8,3,55.49147701233159,8,8,14,9,10,3,"[1, 1, 1, 1, 1, 1, 2]","[(10, 3), [10, 4], [10, 5], [10, 6], [9, 6], [9, 7], [8, 7], [8, 8]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1)]","[0, 0, 0, 1, 0, 1, 0]",1
6,softmaxBeta2.5_8,1,54.46232220802562,14,9,12,4,8,8,"[0, 1, 1, 1, 1, 1, 2]","[(8, 8), [9, 8], [10, 8], [10, 9], [11, 9], [12, 9], [13, 9], [14, 9]]","[(1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]","[0, 0, 1, 0, 0, 1, 1]",1
7,softmaxBeta2.5_8,3,45.0,12,4,7,6,14,9,"[0, 0, 0, 1, 1, 1, 1]","[(14, 9), [14, 8], [13, 8], [13, 7], [13, 6], [12, 6], [12, 5], [12, 4]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1)]","[0, 0, 0, 0, 0, 1, 1]",1
8,softmaxBeta2.5_8,1,66.80140948635182,7,6,8,0,12,4,"[0, 0, 1, 1, 1, 1, 1]","[(12, 4), [12, 5], [11, 5], [10, 5], [10, 6], [9, 6], [8, 6], [7, 6]]","[(0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[1, 0, 0, 1, 0, 0, 1]",1
9,softmaxBeta2.5_8,-3,62.10272896905237,8,0,10,5,7,6,"[0, 1, 1, 1]","[(7, 6), [7, 5], [8, 5], [9, 5], [10, 5]]","[(0, -1), (1, 0), (1, 0), (1, 0)]","[0, 0, 2, 2]",2
10,softmaxBeta2.5_8,-5,113.19859051364818,8,0,9,6,10,5,"[0, 1]","[(10, 5), [9, 5], [9, 6]]","[(-1, 0), (0, 1)]","[0, 2]",2
11,softmaxBeta2.5_8,5,45.0,8,0,2,1,9,6,"[0, 0, 0, 0, 0, 1, 1]","[(9, 6), [8, 6], [8, 5], [8, 4], [8, 3], [8, 2], [8, 1], [8, 0]]","[(-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 0, 0, 1]",1
12,softmaxBeta2.5_8,0,58.736268305622566,2,1,6,5,8,0,"[0, 1, 1, 1, 1, 1, 2]","[(8, 0), [8, 1], [8, 2], [8, 3], [7, 3], [6, 3], [6, 4], [6, 5]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1)]","[0, 2, 2, 0, 0, 2, 2]",2
13,softmaxBeta2.5_8,-5,71.56505117707799,2,1,4,6,6,5,"[1, 1, 1]","[(6, 5), [6, 6], [5, 6], [4, 6]]","[(0, 1), (-1, 0), (-1, 0)]","[2, 0, 0]",2
14,softmaxBeta2.5_8,-3,113.19859051364818,2,1,2,8,4,6,"[0, 1, 1, 1]","[(4, 6), [3, 6], [2, 6], [2, 7], [2, 8]]","[(-1, 0), (-1, 0), (0, 1), (0, 1)]","[0, 0, 2, 2]",2
15,softmaxBeta2.5_8,5,45.0,2,1,8,2,2,8,"[0, 0, 0, 0, 1, 1, 1]","[(2, 8), [2, 7], [2, 6], [2, 5], [2, 4], [2, 3], [2, 2], [2, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[0, 0, 0, 0, 0, 0, 1]",1
16,softmaxBeta2.5_8,0,58.736268305622566,8,2,4,6,2,1,"[1, 1, 1, 1, 1, 1, 2]","[(2, 1), [3, 1], [4, 1], [4, 2], [4, 3], [4, 4], [4, 5], [4, 6]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[0, 0, 0, 2, 2, 2, 2]",2
17,softmaxBeta2.5_8,3,32.47119229084849,8,2,13,4,4,6,"[0, 1, 1, 1, 1, 1, 2, 2]","[(4, 6), [5, 6], [5, 5], [6, 5], [7, 5], [7, 4], [8, 4], [8, 3], [8, 2]]","[(1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1)]","[0, 0, 0, 0, 0, 0, 1, 1]",1
18,softmaxBeta2.5_8,-3,113.19859051364818,13,4,6,4,8,2,"[0, 0, 0, 0]","[(8, 2), [8, 3], [7, 3], [7, 4], [6, 4]]","[(0, 1), (-1, 0), (0, 1), (-1, 0)]","[0, 2, 0, 2]",2
19,softmaxBeta2.5_8,-5,45.0,13,4,7,5,6,4,"[0, 0]","[(6, 4), [6, 5], [7, 5]]","[(0, 1), (1, 0)]","[2, 0]",2
20,softmaxBeta2.5_8,-1,54.46232220802562,13,4,10,8,7,5,"[0, 0, 0, 0, 1, 1]","[(7, 5), [8, 5], [8, 6], [9, 6], [10, 6], [10, 7], [10, 8]]","[(1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1)]","[0, 2, 0, 0, 2, 2]",2
21,softmaxBeta2.5_8,-1,98.13010235415598,13,4,13,11,10,8,"[0, 1, 1, 1, 1, 1]","[(10, 8), [11, 8], [11, 9], [12, 9], [12, 10], [12, 11], [13, 11]]","[(1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0)]","[0, 2, 0, 2, 2, 0]",2
